&ylabel:,Fraction of total tests 'positive',
date,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Virgin Islands,Washington,West Virginia,Wisconsin,Wyoming
2020-04-06,0.13328818151032848,0.027749527822170564,0.0,0.075490256347206,0.0681198910081744,0.1220802002878286,0.19206145966709348,0.2587873791501162,0.09622533600228768,0.14718905138870253,0.10808442980677191,0.2338683890771887,0.18284789644012944,0.027428655921928138,0.10013642564802183,0.1948142734581043,0.18876713374823412,0.08155875506509182,0.09302069572875385,0.05088719560931422,0.2149466500881936,0.07575527554273569,0.1365769659317284,0.17969107626309525,0.3041794416653219,0.03505403868031855,0.08532155130093275,0.09123512652924418,0.04403534609720177,0.060262266096950054,0.11078336831357423,0.07992831541218638,0.46151945367957586,0.03260869565217391,0.4073706948951252,0.07047095221725679,0.031193678081242203,0.09198395965108107,0.48272098945070935,0.05192422365946516,0.15479285424666683,0.1300380228136882,0.12757929489446998,0.10797849915682968,0.04784053156146179,0.08029567053854277,0.08524198366859191,0.050158711145714796,0.0853622327790974,0.11736878593858326,0.16226415094339622,0.08185607622188631,0.03470824949698189,0.08409733232232715,0.053448714685670654
2020-04-07,0.14206221507106462,0.03081151453782728,0.0,0.07715355805243446,0.06936500953218946,0.12089553376159233,0.19244651162790696,0.26797768287642926,0.10846189808321646,0.15479994886872045,0.10673701886191572,0.26156082223474625,0.18615384615384614,0.028577758085954807,0.10403699093010849,0.1971279753244486,0.1914545960228063,0.0824028935367196,0.09459743535841918,0.05051365572538211,0.2181233674904561,0.07855304979567125,0.13820469851708983,0.1856121119767985,0.3032291618864057,0.03653451811346548,0.09320095391054656,0.09499827958334636,0.04566929133858268,0.061587214108569856,0.11196952626213853,0.0818639798488665,0.4676648345863078,0.03143184421534937,0.4083509283710426,0.07840416727520569,0.030767233545371933,0.0940634958102207,0.110734973294215,0.051332203242491416,0.15950174193124303,0.12623925974884337,0.11933637333850781,0.10206925675675675,0.05105296745373325,0.07826152740477361,0.09319902085753928,0.050163073281958036,0.08382738177305943,0.1163553848839239,0.16226415094339622,0.08174549017549385,0.03416535367775106,0.08292055323255065,0.05393258426966292
2020-04-08,0.12388871456960569,0.03197509903791738,0.0,0.07886818655248236,0.06882312456985547,0.11754145178284256,0.19324410906243325,0.26797768287642926,0.10846189808321646,0.173850054328142,0.10797574301004653,0.2552659396189445,0.1819505094614265,0.027064492705789162,0.10169776433013952,0.20086324034849332,0.19252324338332955,0.08198482027781756,0.10272021997446724,0.05318459544528791,0.20919833918875758,0.08105660377358491,0.14375227497270032,0.19067636878719685,0.31129893103917505,0.03752479432900855,0.09706808819966077,0.09753737906772207,0.04487699378210327,0.06519281497299334,0.11271029855100652,0.08586684101558244,0.4724047960484385,0.035693414250393345,0.4089135239201102,0.07969851350408264,0.029349859681945745,0.09651112652556194,0.11420007493443238,0.050439667806546164,0.1647993667417646,0.1268931641424478,0.11951862842070557,0.10359665502963383,0.05823947836395969,0.07704263661733017,0.09716594984312993,0.05111308007531288,0.08267819706498952,0.11894273127753303,0.156794425087108,0.08136262443819045,0.03682742128337983,0.08384290103738858,0.05437992125984252
2020-04-09,0.13295241753493062,0.03253495777377821,0.0,0.08117704018505568,0.0748444920072236,0.1119816513761468,0.1936710161306894,0.29204226613336515,0.12204246713852376,0.17457588262265017,0.10727045080597054,0.25717415115005476,0.17753120665742025,0.0276172941400546,0.09831617588380816,0.20309929876201194,0.19764727849873961,0.08481934148133306,0.10264501160092808,0.06174028714279162,0.210345263981408,0.0842358604091456,0.14893207156444893,0.19837033761804,0.32069675187162583,0.03845915649965938,0.10817537813517136,0.09193640567361147,0.0450381679389313,0.06530001151675688,0.11281061963162005,0.0825044497958329,0.4760336592283006,0.03633385138824716,0.40847250280296976,0.07636637453199188,0.029922135706340378,0.09845494328838082,0.08304157009714483,0.05154719631638506,0.1726103672278934,0.12681024879316746,0.139173180755903,0.10202068184309569,0.06254372463970898,0.07742819428896056,0.09638758550511617,0.05149454043207464,0.08609774626487718,0.12238842124386846,0.15488215488215487,0.08153113309367113,0.03772632186395441,0.08408872307557784,0.05542168674698795
2020-04-10,0.1411585655854656,0.03310010764262648,0.0,0.08247204113001537,0.06839953271028038,0.11811018845950881,0.19936912381710717,0.29039902998236333,0.11293756920194191,0.17744521646178515,0.10766443530062028,0.24883524389451103,0.16414141414141414,0.027370115796643755,0.10332976936001222,0.20435979754818512,0.1971175799086758,0.08700557888798345,0.10215524794112493,0.06970520421607378,0.20863675769397486,0.08780341624213366,0.15676745860331173,0.2038031276234357,0.3162372994281273,0.03941700595975689,0.11700867257475948,0.09324987727049583,0.04399180426660239,0.06788539662176608,0.11358741043562354,0.08224543080939947,0.48085410005021006,0.040261273894752383,0.4080357036026658,0.06779425795819238,0.02893422148209825,0.10035340515254469,0.08094206821873308,0.05154719631638506,0.17677558640582558,0.12401642148477592,0.14094851706771125,0.10875350388532094,0.07009284686805282,0.07742161499386933,0.1008572564337441,0.05156763652421373,0.08679245283018867,0.12716094644519021,0.15479876160990713,0.0811824329625155,0.038062521470285125,0.08453420769845425,0.05071156544397675
2020-04-11,0.15017177278930774,0.03323848939472323,0.0,0.08371576609918578,0.06599203358811498,0.1190111939221448,0.19936912381710717,0.2889709020612086,0.1332072412861389,0.177109273832055,0.10694315139389243,0.23511553707821714,0.16101694915254236,0.026524442416291143,0.1014240046498111,0.20814116268217778,0.1895958179268137,0.08813915479803876,0.10273029247346674,0.06970520421607378,0.2065108600319868,0.09188544152744631,0.16287734451077523,0.20909065860894002,0.3156392243534086,0.040306180092644896,0.12418915107643133,0.09320856110441954,0.04393427339470924,0.0701051577366049,0.11446983507864501,0.08434194224721243,0.4838135332340486,0.040261273894752383,0.40922037280602297,0.07139900319573461,0.02906746031746032,0.10335532734699278,0.08244328713920028,0.05035997649133118,0.18022854194235682,0.1236854496939256,0.12901631240731587,0.10656963413418404,0.07821089455272363,0.07652480995989705,0.10421212448043274,0.05184976260988107,0.08333333333333333,0.13360877917839944,0.1457142857142857,0.08109214173751225,0.03734144447320735,0.0847913862718708,0.047810954387250415
2020-04-12,0.16332298568317657,0.033839263498382684,0.0,0.08404379111353867,0.06490213974241964,0.11450758690261023,0.19766008086485246,0.29196991751576906,0.1332072412861389,0.1762218045112782,0.10590797415090313,0.22867426955355996,0.16101694915254236,0.027048085485307214,0.09833659491193737,0.20699856057973892,0.18658947021582056,0.09021145975443383,0.1008828189843809,0.07489721984776326,0.19794319765486088,0.0941824133313495,0.1652801221766739,0.21722125226798125,0.31015773506048816,0.04331792309131236,0.1298743753794424,0.0920353982300885,0.04341972399865365,0.07398746609297539,0.11523302588273536,0.08503432494279176,0.4880261963940506,0.040917328872159486,0.40878161009183256,0.07274014708958947,0.029758454106280193,0.10442262384769856,0.08655536028119508,0.0513139323879293,0.18282488589959164,0.13356164383561644,0.13095823095823095,0.10561654733492443,0.08535016953115866,0.07510222561795209,0.10827652108276521,0.05206402314961342,0.0795526482380249,0.13189946229836189,0.1457142857142857,0.08085112883023249,0.03758381005105493,0.08510584099651018,0.047810954387250415
2020-04-13,0.1279555890617504,0.03537675606641124,0.0,0.08540383417537546,0.0677754278023457,0.11707756624511478,0.20472105291202644,0.3019928231284841,0.1374788494077834,0.17880007316627036,0.10499625395628087,0.23351046105820664,0.14728682170542637,0.026480577372107832,0.09582689335394126,0.2082387867786098,0.184916589954871,0.09146341463414634,0.09924985574148874,0.07589113121472203,0.1944287683525918,0.05672029904111815,0.1726729918262449,0.21909496786432694,0.3101858574125163,0.04293855882582559,0.09495223341079266,0.09659240996742098,0.043306221147504945,0.07418884433102442,0.11667452089224002,0.0878914963861872,0.4988375595702446,0.0407996067507783,0.4077101411707156,0.07597652552533603,0.030702161209535294,0.10712311094729082,0.09051139594907914,0.05089810738729475,0.18644446499013806,0.1315751129243771,0.14403949470015973,0.10561654733492443,0.09642301710730948,0.07362687840409475,0.10437902511521775,0.05160853517373927,0.07582702271821443,0.13881307214801575,0.13672922252010725,0.08100544182430681,0.0375863104172921,0.08527999601960345,0.046109993293091886
2020-04-14,0.11703958691910499,0.03413991375179684,0.0,0.08631168359941944,0.07003927878472387,0.11541580946352271,0.1985184037994941,0.30516349992364916,0.14312418725617684,0.18238213399503722,0.10516290973521016,0.23016425277125982,0.1408898305084746,0.025952626158599383,0.09613603281725552,0.21015947060099804,0.18530108438185888,0.1005559968228753,0.10079875591998304,0.07675298879436346,0.1817061019067403,0.05947172257332685,0.1762790091749949,0.22145451394086457,0.3131422076867766,0.043194617874162226,0.0814984951686995,0.0976697653091,0.043209876543209874,0.0766927885885357,0.11582461273020517,0.08785529715762273,0.49239486599796817,0.0420706912730685,0.4051103591555927,0.07724596011623795,0.031238548919017957,0.10705724915810062,0.07725777353284517,0.05045885733708247,0.18966407495266815,0.1280699320105453,0.1419650655021834,0.10489489844119036,0.10628227194492254,0.0738668797807969,0.09984501628353144,0.051897753679318356,0.07504141896501315,0.14430699436428687,0.13527851458885942,0.08063925563764027,0.03756309425988966,0.08555544859453215,0.046109993293091886
2020-04-15,0.1206972444757461,0.033818097876269625,0.0,0.08744206576914589,0.07186040120912339,0.1128202285598145,0.20063163213744314,0.2942584209161797,0.1537169897725538,0.1906290672451193,0.10543349460678472,0.23384303323451397,0.1362704918032787,0.026107155481492703,0.09507728276399532,0.21032421383916736,0.18503595338457723,0.10040767024007248,0.10185437687482957,0.07979203523847347,0.1800324781838462,0.05186582244375589,0.1799042375768879,0.22574570653811388,0.31281982675005854,0.044953034143432234,0.0880710859479437,0.09987350036725699,0.04215798810393405,0.07681814306419985,0.11610920267582715,0.0936215683051126,0.4931919650606509,0.042831050228310505,0.4064146825547706,0.07553039350111312,0.032252363700627375,0.10888584525939177,0.07744960470926451,0.04986357230667746,0.1925369228980114,0.12488780612899089,0.1362706104954242,0.10526012725649958,0.11847043310680597,0.07514586629746836,0.10204861339832685,0.053387659091863736,0.07285821174710064,0.14716203672258824,0.13350785340314136,0.08057655295528716,0.03975985500679655,0.08644040235091877,0.04534681624269237
